PlayerName,Team
Bill Coughlin,"[DET, WS1, WSN]"
Bill Cox,"[CHA, SLA, SLN]"
Bill Craver,"[BL1, LS1, NY3, PH1, PH2, PH3, TRO]"
Bill Crouch,"[BRO, PHI, SLA, SLN]"
Bill Crowley,"[BFN, BSN, CL2, LS1, PH2, PH4]"
Bill Cunningham,"[BSN, NY1, WS1]"
Bill Dahlen,"[BRO, BSN, CHN, NY1]"
Bill Daley,"[BS2, BSN, BSP]"
Bill Dawley,"[CHA, HOU, OAK, PHI, SLN]"
Bill Denehy,"[DET, NYN, WS2]"
Bill Dietrich,"[CHA, PHA, WS1]"
Bill Dinneen,"[BOS, BSN, SLA, WSN]"
Bill Doak,"[BRO, CIN, SLN]"
Bill Donovan,"[BRO, BSN, DET, NYA, WSN]"
Bill Doran,"[CIN, CLE, HOU, ML4]"
Bill Duggleby,"[PHA, PHI, PIT]"
Bill Eagan,"[CHN, PIT, SL4]"
Bill Evans,"[BOS, CHA, PIT]"
Bill Fahey,"[DET, SDN, TEX, WS2]"
Bill Faul,"[CHN, DET, SFN]"
Bill Fischer,"[CHA, DET, KC1, MIN, WS1]"
Bill Gallagher,"[BL2, PHI, PHU]"
Bill Gleason,"[CLP, LS2, PH4, SL4]"
Bill Gogolewski,"[CHA, CLE, TEX, WS2]"
Bill Gray,"[CIN, PHI, PIT]"
Bill Greenwood,"[BL2, BR3, CL6, PH4, RC2]"
Bill Greif,"[HOU, SDN, SLN]"
Bill Gullickson,"[CIN, DET, HOU, MON, NYA]"
Bill Haeffner,"[NY1, PHA, PIT]"
Bill Hague,"[LS1, PRO, SL2]"
Bill Hall,"[BAL, BOS, BRO, HOU, MIL, PIT, SEA]"
Bill Hallahan,"[CIN, PHI, SLN]"
Bill Hallman,"[BRO, CHA, CLE, MLA, PH4, PHI, PHP, PIT, SLN]"
Bill Hands,"[CHN, MIN, SFN, TEX]"
Bill Harbridge,"[CHN, CNU, HAR, HR1, PHI, TRN]"
Bill Harris,"[BOS, BRO, CIN, LAN, PIT]"
Bill Hart,"[BRO, CLE, PH4, PIT, SLN]"
Bill Haselman,"[BOS, DET, SEA, TEX]"
Bill Heath,"[CHA, CHN, DET, HOU]"
Bill Henry,"[BOS, CHN, CIN, HOU, NYA, PIT, SFN]"
Bill Higgins,"[BSN, SL4, SR2]"
