PlayerName,Team
Jake Peavy,"[BOS, CHA, SDN]"
Jake Powell,"[NYA, PHI, WS1]"
Jake Stahl,"[BOS, NYA, WS1]"
Jake Stenzel,"[BLN, CHN, CIN, PIT, SLN]"
Jake Thielman,"[BOS, CLE, SLN]"
Jake Volz,"[BOS, BSN, CIN]"
Jake Wade,"[BOS, CHA, DET, NYA, SLA, WS1]"
Jake Weimer,"[CHN, CIN, NY1]"
Jake Westbrook,"[CLE, NYA, SLN]"
Jakie May,"[CHN, CIN, SLN]"
James Baldwin,"[BAL, CHA, LAN, MIN, NYN, SEA, TEX]"
James Edwards,"[CHA, CIN, CLE]"
James Loney,"[BOS, LAN, TBA]"
James Mouton,"[HOU, MIL, MON, SDN]"
James Shields,"[KCA, KCR, TBA]"
Jamey Carroll,"[CLE, COL, KCA, LAN, MIN, MON, WAS]"
Jamey Wright,"[CLE, COL, KCA, LAN, MIL, SEA, SFN, SLN, TBA, TEX]"
Jamie Burke,"[ANA, CHA, SEA, WAS]"
Jamie Easterly,"[ATL, CLE, ML4]"
Jamie Moyer,"[BAL, BOS, CHN, COL, PHI, SEA, SLN, TEX]"
Jamie Quirk,"[BAL, CHA, CLE, KCA, ML4, NYA, OAK, SLN]"
Jamie Walker,"[BAL, DET, KCA]"
Jap Barbeau,"[CLE, PIT, SLN]"
Jared Fernandez,"[CIN, HOU, MIL]"
Jaret Wright,"[ATL, BAL, CLE, NYA, SDN]"
Jarrod Saltalamacchia,"[ATL, BOS, MIA, TEX]"
Jarrod Washburn,"[ANA, DET, LAA, SEA]"
Jarvis Brown,"[ATL, BAL, MIN, SDN]"
Jason Anderson,"[CLE, NYA, NYN]"
Jason Bartlett,"[MIN, SDN, TBA]"
Jason Bay,"[BOS, NYN, PIT, SDN, SEA]"
Jason Bere,"[CHA, CHN, CIN, CLE, MIL]"
Jason Bourgeois,"[CHA, CIN, HOU, KCA, MIL, TBA]"
Jason Boyd,"[CLE, PHI, PIT, SDN]"
Jason Christiansen,"[LAA, PIT, SFN, SLN]"
Jason Conti,"[ARI, MIL, TBA, TEX]"
Jason Davis,"[CLE, PIT, SEA]"
Jason Ellison,"[CIN, SEA, SFN, TEX]"
Jason Frasor,"[CHA, TEX, TOR]"
Jason Giambi,"[CLE, COL, NYA, OAK]"
Jason Grilli,"[CHA, COL, DET, FLO, PIT, TEX]"
Jason Grimsley,"[ARI, BAL, CAL, CLE, KCA, NYA, PHI]"
Jason Hammel,"[BAL, CHN, COL, TBA]"
Jason Isringhausen,"[LAA, NYN, OAK, SLN, TBA]"
Jason Jacome,"[CLE, KCA, NYN]"
Jason Jennings,"[COL, HOU, TEX]"
Jason Johnson,"[BAL, BOS, CIN, CLE, DET, LAN, PIT, TBA]"
Jason Kendall,"[CHN, KCA, MIL, OAK, PIT]"
Jason Kubel,"[ARI, CLE, MIN]"
Jason LaRue,"[CIN, KCA, SLN]"
Jason Marquis,"[ARI, ATL, CHN, COL, MIN, SDN, SLN, WAS]"
Jason Michaels,"[CLE, HOU, PHI, PIT]"
Jason Phillips,"[CLE, LAN, NYN, PIT, TOR]"
Jason Pridie,"[BAL, COL, MIN, NYN, PHI]"
Jason Repko,"[BOS, LAN, MIN]"
Jason Romano,"[CIN, COL, LAN, TBA, TEX]"
Jason Schmidt,"[ATL, LAN, PIT, SFN]"
Jason Shiell,"[ATL, BOS, SDN]"
Jason Smith,"[ARI, CHN, COL, DET, HOU, KCA, TBA, TOR]"
Jason Standridge,"[CIN, KCA, TBA, TEX]"
Jason Thompson,"[CAL, DET, MON, PIT, SDN]"
Jason Tyner,"[CLE, MIN, NYN, TBA]"
Jason Vargas,"[FLO, KCR, LAA, NYN, SEA]"
Jason Wood,"[DET, FLO, OAK]"
Javier Lopez,"[ARI, BOS, COL, PIT, SFN]"
Javier Valentin,"[CIN, MIN, TBA]"
Javier Vazquez,"[ARI, ATL, CHA, FLO, MON, NYA]"
Javy Lopez,"[ATL, BAL, BOS]"
Jay Aldrich,"[ATL, BAL, ML4]"
Jay Baller,"[CHN, KCA, PHI]"
Jay Bell,"[ARI, CLE, KCA, NYN, PIT]"
Jay Faatz,"[BFP, CL3, CL4, PT1]"
Jay Howell,"[ATL, CHN, CIN, LAN, NYA, OAK, TEX]"
Jay Johnstone,"[CAL, CHA, CHN, LAN, NYA, OAK, PHI, SDN]"
Jay Kirke,"[BSN, CLE, DET, NY1]"
Jay Loviglio,"[CHA, CHN, PHI]"
Jay Payton,"[BAL, BOS, COL, NYN, OAK, SDN]"
Jay Porter,"[CLE, DET, SLA, SLN, WS1]"
Jay Powell,"[ATL, COL, FLO, HOU, TEX]"
Jay Ritchie,"[ATL, BOS, CIN]"
Jay Tibbs,"[BAL, CIN, MON, PIT]"
Jay Witasick,"[COL, KCA, NYA, OAK, SDN, SFN, TBA]"
Jayson Nix,"[CHA, CLE, COL, NYA, PHI, TOR]"
Jayson Werth,"[LAN, PHI, TOR, WAS]"
Jean Dubuc,"[BOS, CIN, DET, NY1]"
Jed Lowrie,"[BOS, HOU, OAK]"
Jeff Baker,"[ATL, CHN, COL, MIA, TEX]"
Jeff Bennett,"[ATL, MIL, TBA]"
Jeff Bittiger,"[CHA, MIN, PHI]"
Jeff Branson,"[CIN, CLE, LAN]"
Jeff Brantley,"[CIN, PHI, SFN, SLN, TEX]"
Jeff Burroughs,"[ATL, OAK, SEA, TEX, TOR, WS2]"
Jeff Cirillo,"[ARI, COL, MIL, MIN, ML4, SDN, SEA]"
Jeff Conine,"[BAL, CIN, FLO, KCA, NYN, PHI]"
Jeff D'Amico,"[CLE, KCA, MIL, ML4, NYN, PIT]"
Jeff DaVanon,"[ANA, ARI, LAA, OAK]"
Jeff Fassero,"[ARI, BOS, CHN, COL, MON, SEA, SFN, SLN, TEX]"
Jeff Francis,"[CIN, COL, KCA]"
Jeff Francoeur,"[ATL, KCA, NYN, SDN, TEX]"
Jeff Frye,"[BOS, COL, TEX, TOR]"
Jeff Fulchino,"[FLO, HOU, KCA]"
Jeff Gardner,"[MON, NYN, SDN]"
Jeff Gray,"[BOS, CHA, CHN, CIN, MIN, OAK]"
Jeff Heath,"[BSN, CLE, SLA, WS1]"
Jeff Huson,"[ANA, BAL, CHN, ML4, MON, SEA, TEX]"
Jeff Juden,"[ANA, CLE, HOU, MIL, MON, NYA, PHI, SFN]"
Jeff Kaiser,"[CIN, CLE, DET, NYN, OAK]"
Jeff Kent,"[CLE, HOU, LAN, NYN, SFN, TOR]"
Jeff Keppinger,"[CHA, CIN, HOU, KCA, NYN, TBA]"
Jeff Liefer,"[CHA, CLE, MIL, MON, TBA]"
Jeff Manship,"[COL, MIN, PHI]"
Jeff Manto,"[BAL, BOS, CLE, COL, DET, NYA, PHI, SEA]"
Jeff Mathis,"[LAA, MIA, TOR]"
Jeff McCurry,"[COL, DET, HOU, PIT]"
Jeff Nelson,"[CHA, NYA, SEA, TEX]"
Jeff Parrett,"[ATL, COL, MON, OAK, PHI, SLN]"
Jeff Pfeffer,"[BRO, PIT, SLA, SLN]"
Jeff Reardon,"[ATL, BOS, CIN, MIN, MON, NYA, NYN]"
Jeff Reboulet,"[BAL, KCA, LAN, MIN, PIT]"
Jeff Reed,"[CHN, CIN, COL, MIN, MON, SFN]"
Jeff Richardson,"[BOS, CAL, CIN, PIT]"
Jeff Robinson,"[BAL, CAL, CHN, DET, NYA, PIT, SFN, TEX]"
Jeff Russell,"[BOS, CIN, CLE, OAK, TEX]"
Jeff Salazar,"[ARI, COL, PIT]"
Jeff Schaefer,"[CHA, OAK, SEA]"
Jeff Shaw,"[CHA, CIN, CLE, LAN, MON]"
Jeff Stone,"[BAL, BOS, PHI, TEX]"
Jeff Suppan,"[ARI, BOS, KCA, MIL, PIT, SDN, SLN]"
Jeff Tabaka,"[CIN, HOU, PIT, SDN, SLN]"
Jeff Tam,"[CLE, NYN, OAK, TOR]"
Jeff Treadway,"[ATL, CIN, CLE, LAN, MON]"
Jeff Weaver,"[DET, LAA, LAN, NYA, SEA, SLN]"
Jeff Williams,"[HOU, LAA, LAN]"
Jeffrey Hammonds,"[BAL, CIN, COL, MIL, SFN, WAS]"
Jeffrey Leonard,"[HOU, LAN, ML4, SEA, SFN]"
Jerald Clark,"[COL, MIN, SDN]"
Jeremy Accardo,"[BAL, CLE, SFN, TOR]"
Jeremy Affeldt,"[CIN, COL, KCA, SFN]"
Jeremy Fikac,"[MON, OAK, SDN]"
Jeremy Giambi,"[BOS, KCA, OAK, PHI]"
Jeremy Guthrie,"[BAL, CLE, COL, KCA, KCR]"
Jeremy Hermida,"[BOS, CIN, FLO, OAK, SDN]"
Jeremy Hernandez,"[CLE, FLO, SDN]"
Jeremy Jeffress,"[KCA, MIL, TOR]"
Jeremy Reed,"[MIL, NYN, SEA, TOR]"
Jermaine Allensworth,"[KCA, NYN, PIT]"
Jermaine Clark,"[CIN, DET, OAK, SDN, TEX]"
Jermaine Dye,"[ATL, CHA, KCA, OAK]"
Jerome Walton,"[ATL, BAL, CAL, CHN, CIN, TBA]"
Jerome Williams,"[CHN, SFN, WAS]"
Jeromy Burnitz,"[CHN, CLE, COL, LAN, MIL, ML4, NYN, PIT]"
Jerry Adair,"[BAL, BOS, CHA, KCA]"
Jerry Browne,"[CLE, FLO, OAK, TEX]"
Jerry Casale,"[BOS, DET, LAA]"
Jerry DaVanon,"[BAL, CAL, HOU, SDN, SLN]"
Jerry Denny,"[CL4, IN3, LS3, NY1, PHI, PRO, SL5]"
Jerry Dipoto,"[CLE, COL, NYN]"
Jerry Don Gleaton,"[CHA, DET, KCA, PIT, SEA, TEX]"
Jerry Dorgan,"[BR3, DTN, IN2, PH4, WOR]"
Jerry Dybzinski,"[CHA, CLE, PIT]"
Jerry Goff,"[HOU, MON, PIT]"
Jerry Grote,"[HOU, KCA, LAN, NYN]"
Jerry Hairston,"[BAL, CHA, CHN, CIN, LAN, MIL, NYA, PIT, SDN, TEX]"
Jerry Hurley,"[BRO, BSN, CIN, CN3, PTP]"
Jerry Johnson,"[CLE, HOU, PHI, SDN, SFN, SLN, TOR]"
Jerry Kindall,"[CHN, CLE, MIN]"
Jerry Koosman,"[CHA, MIN, NYN, PHI]"
Jerry Lumpe,"[DET, KC1, NYA]"
Jerry Manuel,"[DET, MON, SDN]"
Jerry Martin,"[CHN, KCA, NYN, PHI, SFN]"
Jerry May,"[KCA, NYN, PIT]"
Jerry McCormick,"[BL2, PHU, WSU]"
Jerry McNertney,"[CHA, ML4, PIT, SE1, SLN]"
Jerry Moore,"[ALT, CL2, DTN]"
Jerry Morales,"[CHN, DET, NYN, SDN, SLN]"
Jerry Moses,"[BOS, CAL, CHA, CLE, DET, NYA, SDN]"
Jerry Mumphrey,"[CHN, HOU, NYA, SDN, SLN]"
Jerry Narron,"[CAL, NYA, SEA]"
Jerry Nops,"[BLA, BLN, BRO, PHI]"
Jerry Priddy,"[DET, NYA, SLA, WS1]"
Jerry Reed,"[BOS, CLE, PHI, SEA]"
Jerry Reuss,"[CAL, CHA, CIN, HOU, LAN, ML4, PIT, SLN]"
Jerry Royster,"[ATL, CHA, LAN, NYA, SDN]"
Jerry Spradlin,"[CHN, CIN, CLE, KCA, PHI, SFN]"
Jerry Stephenson,"[BOS, LAN, SE1]"
Jerry Turner,"[CHA, DET, SDN]"
Jerry Walker,"[BAL, CLE, KC1]"
Jerry White,"[CHN, MON, SLN]"
Jerry Willard,"[ATL, CHA, CLE, MON, OAK, SEA]"
Jersey Bakley,"[BL3, CL3, CL4, CLP, KCU, PH4, PHU, WIL, WS9]"
Jess Dobernic,"[CHA, CHN, CIN]"
Jesse Barnes,"[BRO, BSN, NY1]"
Jesse Burkett,"[BOS, CL4, NY1, SLA, SLN]"
Jesse Chavez,"[ATL, KCA, OAK, PIT]"
Jesse Duryea,"[CIN, CN2, SL4, WSN]"
Jesse Flores,"[CHN, CLE, PHA]"
Jesse Garcia,"[ATL, BAL, SDN]"
Jesse Gonder,"[CIN, ML1, NYA, NYN, PIT]"
Jesse Hill,"[NYA, PHA, WS1]"
Jesse Jefferson,"[BAL, CAL, CHA, PIT, TOR]"
Jesse Levis,"[CLE, MIL, ML4]"
Jesse Orosco,"[BAL, CLE, LAN, MIN, ML4, NYA, NYN, SDN, SLN]"
Jesse Petty,"[BRO, CHN, CLE, PIT]"
Jesse Tannehill,"[BOS, CIN, NYA, PIT, WS1]"
Jesus Alou,"[HOU, NYN, OAK, SFN]"
Jesus Colome,"[MIL, SEA, TBA, WAS]"
Jesus Guzman,"[HOU, SDN, SFN]"
Jesus Sanchez,"[CHN, CIN, COL, FLO]"
Jesus Tavarez,"[BAL, BOS, FLO]"
Jhonny Peralta,"[CLE, DET, SLN]"
Jigger Statz,"[BOS, BRO, CHN, NY1]"
Jiggs Donahue,"[CHA, MLA, PIT, SLA, WS1]"
Jim Abbott,"[CAL, CHA, MIL, NYA]"
Jim Acker,"[ATL, SEA, TOR]"
Jim Adduci,"[ML4, PHI, SLN, TEX]"
Jim Anderson,"[CAL, SEA, TEX]"
Jim Bagby,"[BOS, CIN, CLE, PIT]"
Jim Beauchamp,"[ATL, CIN, HOU, ML1, NYN, SLN]"
Jim Bibby,"[CLE, PIT, SLN, TEX]"
Jim Bolger,"[CHN, CIN, CLE, PHI]"
Jim Bottomley,"[CIN, SLA, SLN]"
Jim Bouton,"[ATL, HOU, NYA, SE1]"
Jim Brewer,"[CAL, CHN, LAN]"
Jim Brideweser,"[BAL, CHA, DET, NYA]"
Jim Brillheart,"[BOS, CHN, WS1]"
Jim Brosnan,"[CHA, CHN, CIN, SLN]"
Jim Brower,"[ATL, BAL, CIN, CLE, MON, NYA, SDN, SFN]"
Jim Brown,"[ALT, NY1, PH4, PHA, SLN, SPU]"
Jim Bruske,"[LAN, MIL, NYA, SDN]"
Jim Bucher,"[BOS, BRO, SLN]"
Jim Bullinger,"[CHN, MON, SEA]"
Jim Bunning,"[DET, LAN, PHI, PIT]"
Jim Busby,"[BAL, BOS, CHA, CLE, HOU, WS1]"
Jim Campanis,"[KCA, LAN, PIT]"
Jim Campbell,"[HOU, KCA, SLN]"
Jim Canavan,"[BRO, CHN, CIN, CN3, ML3]"
Jim Clancy,"[ATL, HOU, TOR]"
Jim Clark,"[CLE, SLN, WS1]"
Jim Clinton,"[BL2, BR1, BR2, CN2, ELI, LS1, WOR]"
Jim Coates,"[CAL, CIN, NYA, WS2]"
Jim Colborn,"[CHN, KCA, ML4, SEA]"
Jim Constable,"[CLE, ML1, NY1, SFN, WS1]"
Jim Conway,"[BR3, KC2, PH4]"
Jim Corsi,"[BAL, BOS, FLO, HOU, OAK]"
Jim Crowell,"[CIN, FLO, PHI]"
Jim Curry,"[DET, NYA, PHA]"
Jim Davis,"[CHN, NY1, SLN]"
Jim Delahanty,"[BRF, BSN, CHN, CIN, DET, NY1, SLA, WS1]"
Jim Delsing,"[CHA, DET, KC1, NYA, SLA]"
Jim Deshaies,"[HOU, MIN, NYA, PHI, SDN, SFN]"
Jim Devlin,"[CH2, CLE, LS1, NY1, PH2, PHI, SL4]"
Jim Dickson,"[CIN, HOU, KC1]"
Jim Donahue,"[CL6, KC2, NY4]"
Jim Donnelly,"[BLN, CL6, DTN, IN2, KCN, KCU, NY1, PIT, SL4, SLN, WS8]"
Jim Donohue,"[DET, LAA, MIN]"
Jim Dougherty,"[HOU, OAK, PIT]"
Jim Dwyer,"[BAL, BOS, MIN, MON, NYN, SFN, SLN]"
Jim Dyck,"[BAL, CIN, CLE, SLA]"
Jim Edmonds,"[ANA, CAL, CHN, CIN, MIL, SDN, SLN]"
Jim Eisenreich,"[FLO, KCA, LAN, MIN, PHI]"
Jim Essian,"[CHA, CLE, OAK, PHI, SEA]"
Jim Field,"[BL2, CL5, PT1, RC2, WSN]"
Jim Finigan,"[BAL, DET, KC1, PHA, SFN]"
Jim Fregosi,"[CAL, LAA, NYN, PIT, TEX]"
Jim Fridley,"[BAL, CIN, CLE]"
Jim Gentile,"[BAL, BRO, CLE, HOU, KC1, LAN]"
Jim Gleeson,"[CHN, CIN, CLE]"
Jim Gosger,"[BOS, KC1, MON, NYN, OAK, SE1]"
Jim Gott,"[LAN, PIT, SFN, TOR]"
Jim Gray,"[PIT, PT1, PTP]"
Jim Halpin,"[DTN, WOR, WSU]"
Jim Hannan,"[DET, ML4, WS2]"
Jim Hardin,"[ATL, BAL, NYA]"
Jim Hearn,"[NY1, PHI, SLN]"
Jim Hegan,"[CHN, CLE, DET, PHI, SFN]"
Jim Hickman,"[BLF, BRO, CHN, LAN, NYN, SLN]"
Jim Hicks,"[CAL, CHA, SLN]"
Jim Holdsworth,"[BR1, CL1, HAR, IN2, NY2, NY3, PH2, TRN]"
Jim Hughes,"[BLN, BRO, CHA, CHN, MIN]"
Jim Hughey,"[CHN, CL4, ML3, PIT, SLN]"
Jim Jackson,"[BLA, CLE, NY1]"
Jim Johnson,"[BAL, OAK, SFN]"
Jim Kaat,"[CHA, MIN, NYA, PHI, SLN, WS1]"
Jim Keenan,"[BFN, CIN, CN2, IN2, NH1, PT1]"
Jim Kelly,"[BSN, PIT, PTF]"
Jim Kern,"[CHA, CIN, CLE, ML4, PHI, TEX]"
Jim King,"[CHA, CHN, CLE, SFN, SLN, WS2]"
Jim Konstanty,"[BSN, CIN, NYA, PHI, SLN]"
Jim Landis,"[BOS, CHA, CLE, DET, HOU, KC1]"
Jim Lemon,"[CHA, CLE, MIN, PHI, WS1]"
Jim Lewis,"[MIN, NYA, SDN, SEA]"
Jim Leyritz,"[ANA, BOS, LAN, NYA, SDN, TEX]"
Jim Lindeman,"[DET, HOU, NYN, PHI, SLN]"
Jim Lindsey,"[BRO, CIN, CLE, SLN]"
Jim Lonborg,"[BOS, ML4, PHI]"
Jim Lyttle,"[CHA, LAN, MON, NYA]"
Jim Mahoney,"[BOS, CLE, HOU, WS2]"
Jim Mallory,"[NY1, SLN, WS1]"
Jim Mann,"[HOU, NYN, PIT]"
Jim Manning,"[BSN, DTN, KC2, MIN]"
Jim Marshall,"[BAL, CHN, NYN, PIT, SFN]"
Jim Mason,"[MON, NYA, TEX, TOR, WS2]"
Jim McCauley,"[BFN, BR3, CHN, SL4]"
Jim McCormick,"[CHN, CL2, CNU, IN1, PIT, PRO, SLN]"
Jim McDonald,"[BAL, BFN, BOS, CHA, NYA, PT1, SLA, WSU]"
Jim McGlothlin,"[CAL, CHA, CIN]"
Jim McTamany,"[BR3, CL6, KC2, PH4]"
Jim Mecir,"[FLO, NYA, OAK, SEA, TBA]"
Jim Merritt,"[CIN, MIN, TEX]"
Jim Miller,"[BAL, COL, NY1, NYA, OAK]"
Jim Moroney,"[BSN, CHN, PHI]"
Jim Morrison,"[ATL, CHA, DET, PHI, PIT]"
Jim Murray,"[BRO, BSN, CHN, SLA]"
Jim Nash,"[ATL, KC1, OAK, PHI]"
Jim Nettles,"[DET, KCA, MIN, OAK]"
Jim Northrup,"[BAL, DET, MON]"
Jim O'Rourke,"[BFN, BS1, BSN, MID, NY1, NYP, PRO, SLN, WSN]"
Jim Owens,"[CIN, HOU, PHI]"
Jim Pagliaroni,"[BOS, OAK, PIT, SE1]"
Jim Panther,"[ATL, OAK, TEX]"
Jim Pendleton,"[CIN, HOU, ML1, PIT]"
Jim Perry,"[CLE, DET, MIN, OAK]"
Jim Piersall,"[BOS, CAL, CLE, LAA, NYN, WS2]"
Jim Pisoni,"[KC1, ML1, NYA, SLA]"
Jim Poole,"[BAL, CLE, DET, LAN, MON, PHA, PHI, SFN, TEX]"
Jim Presley,"[ATL, SDN, SEA]"
Jim Qualls,"[CHA, CHN, MON]"
Jim Riley,"[BSN, SLA, WS1]"
Jim Rivera,"[CHA, KC1, SLA]"
Jim Roland,"[MIN, NYA, OAK, TEX]"
Jim Rooker,"[DET, KCA, PIT]"
Jim Russell,"[BRO, BSN, PIT]"
Jim Shellenback,"[MIN, PIT, TEX, WS2]"
Jim Slaton,"[CAL, DET, ML4]"
Jim Spencer,"[CAL, CHA, NYA, OAK, TEX]"
Jim Steels,"[SDN, SFN, TEX]"
Jim Suchecki,"[BOS, PIT, SLA]"
Jim Sullivan,"[BSN, CL6, CLE, PHA]"
Jim Sundberg,"[CHN, KCA, ML4, TEX]"
Jim Tatum,"[BOS, COL, ML4, NYN, SDN]"
Jim Thome,"[BAL, CHA, CLE, LAN, MIN, PHI]"
Jim Thorpe,"[BSN, CIN, NY1]"
Jim Tipper,"[HR1, MID, NH1]"
Jim Tobin,"[BSN, DET, PIT]"
Jim Todd,"[CHN, OAK, SEA]"
Jim Turner,"[BSN, CIN, NYA]"
Jim Vatcher,"[ATL, PHI, SDN]"
Jim Walewander,"[CAL, DET, NYA]"
Jim Weaver,"[CAL, CHN, CIN, DET, NYA, PIT, SEA, SFN, SLA, WS1]"
Jim Whitney,"[BSN, IN3, KCN, PH4, WS8]"
Jim Willoughby,"[BOS, CHA, SFN]"
Jim Wilson,"[BAL, BOS, BSN, CHA, CLE, ML1, PHA, SEA, SLA]"
Jim Winn,"[CHA, MIN, PIT]"
Jim Wohlford,"[KCA, ML4, MON, SFN]"
Jim Wright,"[BOS, KCA, SLA]"
Jim Wynn,"[ATL, HOU, LAN, ML4, NYA]"
Jim York,"[HOU, KCA, NYA]"
Jimmie Coker,"[CIN, PHI, SFN]"
Jimmie DeShong,"[NYA, PHA, WS1]"
Jimmie Foxx,"[BOS, CHN, PHA, PHI]"
Jimmie Hall,"[ATL, CAL, CHN, CLE, MIN, NYA]"
Jimmie Schaffer,"[CHA, CHN, CIN, NYN, PHI, SLN]"
Jimmie Wilson,"[CIN, PHI, SLN]"
Jimmy Anderson,"[BOS, CHN, CIN, PIT]"
Jimmy Archer,"[BRO, CHN, CIN, DET, PIT]"
Jimmy Barrett,"[BOS, CIN, DET]"
Jimmy Bloodworth,"[CIN, DET, PHI, PIT, WS1]"
Jimmy Burke,"[CHA, CL4, MLA, PIT, SLN]"
Jimmy Callahan,"[CHA, CHN, PHI]"
Jimmy Collins,"[BOS, BSN, LS3, PHA]"
Jimmy Cooney,"[BOS, BSN, CHN, NY1, PHI, SLN, WSN]"
Jimmy Esmond,"[CIN, IND, NEW]"
Jimmy Hallinan,"[CHN, CN1, FW1, IN1, KEO, NY2, NY3]"
Jimmy Haynes,"[BAL, CIN, MIL, OAK]"
Jimmy Johnston,"[BRO, BSN, CHA, CHN, NY1]"
Jimmy Jones,"[HOU, MON, NYA, SDN]"
Jimmy Key,"[BAL, NYA, TOR]"
Jimmy Knowles,"[BR3, NY1, NY4, PT1, RC2, WS8]"
Jimmy Macullar,"[BL2, CN2, SR1]"
Jimmy McAleer,"[CL4, CLE, CLP, SLA]"
Jimmy Outlaw,"[BSN, CIN, DET]"
Jimmy Peoples,"[BR3, CL6, CN2]"
Jimmy Ring,"[CIN, NY1, PHI, SLN]"
Jimmy Ripple,"[BRO, CIN, NY1, PHA]"
Jimmy Ryan,"[CHN, CHP, WS1]"
Jimmy Say,"[CL3, KCU, LS2, PH4, WIL]"
Jimmy Sebring,"[BRO, CIN, PIT, WS1]"
Jimmy Sexton,"[HOU, OAK, SEA, SLN]"
Jimmy Sheckard,"[BLA, BLN, BRO, CHN, CIN, SLN]"
Jimmy Slagle,"[BSN, CHN, PHI, WSN]"
Jimmy Smith,"[BLF, BSN, CHF, CIN, NY1, PHI, PIT]"
Jimmy Stewart,"[CHA, CHN, CIN, HOU]"
Jimmy Walsh,"[BLF, BOS, NYA, PHA, PHI, SLF]"
Jimmy Wasdell,"[BRO, CLE, PHI, PIT, WS1]"
Jimmy Williams,"[BLA, NYA, PIT, SLA]"
Jimmy Wood,"[BR1, CH1, PH2, TRO]"
Jimmy Zinn,"[CLE, PHA, PIT]"
Jo-Jo White,"[CIN, DET, PHA]"
Joaquin Andujar,"[HOU, OAK, SLN]"
Joaquin Arias,"[NYN, SFN, TEX]"
Joaquin Benoit,"[DET, SDN, TBA, TEX]"
Jock Menefee,"[CHN, LS3, NY1, PIT]"
Jocko Fields,"[NY1, PHI, PIT, PTP]"
Jocko Halligan,"[BFP, BLN, CIN]"
Jocko Milligan,"[BLN, NY1, PH4, PHP, SL4, WSN]"
Jody Gerut,"[CHN, CLE, MIL, PIT, SDN]"
Jody Reed,"[BOS, DET, LAN, ML4, SDN]"
Joe Adcock,"[CAL, CIN, CLE, LAA, ML1]"
Joe Agler,"[BLF, BUF, WS1]"
Joe Azcue,"[BOS, CAL, CIN, CLE, KC1, ML4]"
Joe Battin,"[BLU, CHU, CL1, PH1, PT1, SL2, SL3, SR2]"
Joe Beggs,"[CIN, NY1, NYA]"
Joe Beimel,"[COL, LAN, MIN, PIT, SEA, TBA, WAS]"
Joe Berry,"[CHN, CLE, NY1, PHA, PHI]"
Joe Black,"[BRO, CIN, WS1]"
Joe Blanton,"[LAA, LAN, OAK, PHI]"
Joe Boever,"[ATL, DET, HOU, OAK, PHI, PIT, SLN]"
Joe Borchard,"[CHA, FLO, SEA]"
Joe Borowski,"[ATL, BAL, CHN, CLE, FLO, NYA, TBA]"
Joe Bowman,"[BOS, CIN, NY1, PHA, PHI, PIT]"
Joe Brown,"[BL2, CHA, CHN]"
Joe Burns,"[BSN, CHA, PHA]"
Joe Carter,"[BAL, CHN, CLE, SDN, SFN, TOR]"
Joe Cascarella,"[BOS, CIN, PHA, WS1]"
Joe Christopher,"[BOS, NYN, PIT]"
Joe Coleman,"[BAL, CHN, DET, OAK, PHA, PIT, SFN, TOR, WS2]"
Joe Connolly,"[BOS, BSN, CLE, NY1]"
Joe Connor,"[BSN, CLE, MLA, NYA, SLN]"
Joe Corbett,"[BLN, SLN, WSN]"
Joe Cowley,"[ATL, CHA, NYA, PHI]"
Joe Cronin,"[BOS, PIT, WS1]"
Joe Crotty,"[CNU, LS2, NY4, SL4]"
Joe Cunningham,"[CHA, SLN, WS2]"
Joe Daly,"[BSN, CL4, PH4]"
Joe DeMaestri,"[CHA, KC1, NYA, PHA, SLA]"
Joe Decker,"[CHN, MIN, SEA]"
Joe Dillon,"[FLO, MIL, TBA]"
Joe Dobson,"[BOS, CHA, CLE]"
Joe Dolan,"[LS3, PHA, PHI]"
Joe Dugan,"[BOS, BSN, DET, NYA, PHA]"
Joe Ellick,"[BLU, CHU, KCU, ML2, SL1, WOR]"
Joe Engel,"[CIN, CLE, WS1]"
Joe Evans,"[CLE, SLA, WS1]"
Joe Ferguson,"[CAL, HOU, LAN, SLN]"
Joe Foy,"[BOS, KCA, NYN, WS2]"
Joe Frazier,"[BAL, CIN, CLE, SLN]"
Joe Gaines,"[BAL, CIN, HOU]"
Joe Gallagher,"[BRO, NYA, SLA]"
Joe Garagiola,"[CHN, NY1, PIT, SLN]"
Joe Gedeon,"[NYA, SLA, WS1]"
Joe Gerhardt,"[BL1, BR4, CN1, DTN, LS1, LS2, NY1, NY2, NY4, SL4, WS5]"
Joe Gibbon,"[CIN, HOU, PIT, SFN]"
Joe Ginsberg,"[BAL, BOS, CHA, CLE, DET, KC1, NYN]"
Joe Girardi,"[CHN, COL, NYA, SLN]"
Joe Glenn,"[BOS, NYA, SLA]"
Joe Grahe,"[CAL, COL, PHI]"
Joe Grzenda,"[DET, KC1, MIN, NYN, SLN, WS2]"
Joe Gunson,"[BLN, CL4, KC2, SLN, WSU]"
Joe Harris,"[BOS, BRO, CLE, NYA, PIT, WS1]"
Joe Hesketh,"[ATL, BOS, MON]"
Joe Heving,"[BOS, BSN, CHA, CLE, NY1]"
Joe Hicks,"[CHA, NYN, WS2]"
Joe Hoerner,"[ATL, CIN, HOU, KCA, PHI, SLN, TEX]"
Joe Hornung,"[BFN, BL2, BSN, NY1]"
Joe Inglett,"[CLE, HOU, MIL, TOR]"
Joe Judge,"[BOS, BRO, WS1]"
Joe Kelley,"[BLA, BLN, BRO, BSN, CIN, PIT]"
